id,kind,source,name_ru,name_en,tier,rarity,roll,class,trait,range,damage,burden,armor_score,thresholds,crafts_into,community,url,text_ru,text_en
ci17,item,Core,Магическая Призма,Arcane Prism,,uncommon,17,,,,,,,,,,https://artex-x.github.io/daggerheart-loot/i/ci17.html,"Поместите эту призму в выбранное вами место и активируйте её. Все союзники в пределах Средней дистанции от неё получают бонус +1 к своим Броскам Заклинаний. Пока призма активирована, её нельзя перемещать. После деактивации призму нельзя активировать снова до вашего следующего продолжительного отдыха.","Position this prism in a location of your choosing and activate it. All allies within Close range of it gain a +1 bonus to their Spellcast Rolls. While activated, the prism can't be moved. Once the prism is deactivated, it can't be activated again until your next long rest."
ci18,item,Core,Рецепт Малого Зелья Выносливости,Minor Stamina Potion Recipe,,uncommon,18,,,,,,,,cc8,,https://artex-x.github.io/daggerheart-loot/i/ci18.html,В качестве Хода Отдыха вы можете использовать кость существа для создания Малого Зелья Выносливости.,"As a downtime move, you can use the bone of a creature to craft a Minor Stamina Potion."
ci19,item,Core,Рецепт Малого Зелья Лечения,Minor Health Potion Recipe,,uncommon,19,,,,,,,,cc7,,https://artex-x.github.io/daggerheart-loot/i/ci19.html,В качестве Хода Отдыха вы можете использовать флакон с кровью для создания Малого Зелья Лечения.,"As a downtime move, you can use a vial of blood to craft a Minor Health Potion."
ci20,item,Core,Компасы Связи,Homing Compasses,,uncommon,20,,,,,,,,,,https://artex-x.github.io/daggerheart-loot/i/ci20.html,"Эти два компаса указывают друг на друга, независимо от того, как далеко они находятся друг от друга.",These two compasses point toward each other no matter how far apart they are.
ci21,item,Core,Исправляющий Дух,Corrector Sprite,,uncommon,21,,,,,,,,,,https://artex-x.github.io/daggerheart-loot/i/ci21.html,Этот крошечный дух сидит в изгибе вашего ушного канала и шепчет полезные советы во время боя. Один раз за короткий отдых вы можете получить преимущество на бросок атаки.,"This tiny sprite sits in the curve of your ear canal and whispers helpful advice during combat. Once per short rest, you can gain advantage on an attack roll."
ci22,item,Core,Перчатки Геккона,Gecko Gloves,,uncommon,22,,,,,,,,,,https://artex-x.github.io/daggerheart-loot/i/ci22.html,Вы можете лазать по вертикальным поверхностям и потолкам.,You can climb up vertical surfaces and across ceilings.
ci23,item,Core,Хранитель Знаний,Lorekeeper,,uncommon,23,,,,,,,,,,https://artex-x.github.io/daggerheart-loot/i/ci23.html,Вы можете сохранить в этой книге имена и подробные сведения о трёх враждебных существах. Вы получаете бонус +1 к броскам действия против этих существ.,You can store the name and details of up to three hostile creatures inside this book. You gain a +1 bonus to action rolls against those creatures.
ci24,item,Core,Рецепт Флакона с Чёрным Дымом,Vial of Darksmoke Recipe,,uncommon,24,,,,,,,,cc16,,https://artex-x.github.io/daggerheart-loot/i/ci24.html,"В качестве Хода Отдыха вы можете отметить Стресс, чтобы изготовить Флакон с Чёрным Дымом.","As a downtime move, you can mark a Stress to craft a Vial of Darksmoke."
ci25,item,Core,Кровавый Камень,Bloodstone,,rare,25,,,,,,,,,,https://artex-x.github.io/daggerheart-loot/i/ci25.html,"Вы можете прикрепить этот камень к оружию, которое ещё не имеет свойства. Оружие получает следующее свойство. Жестокое: когда вы выбрасываете максимальное значение на кости урона, бросьте дополнительную кость урона.","You can attach this stone to a weapon that doesn't already have a feature. The weapon gains the following feature. Brutal: When you roll the maximum value on a damage die, roll an additional damage die."
ci26,item,Core,Самоцвет Великана,Greatstone,,rare,26,,,,,,,,,,https://artex-x.github.io/daggerheart-loot/i/ci26.html,"Вы можете прикрепить этот камень к оружию, которое ещё не имеет свойства. Оружие получает следующее свойство. Мощное: при успешной атаке бросьте дополнительную кость урона и отбросьте наименьший результат.","You can attach this stone to a weapon that doesn't already have a feature. The weapon gains the following feature. Powerful: On a successful attack, roll an additional damage die and discard the lowest result."
ci27,item,Core,Парашют,Glider,,rare,27,,,,,,,,,,https://artex-x.github.io/daggerheart-loot/i/ci27.html,"Во время падения вы можете отметить Стресс, чтобы развернуть этот маленький парашют и безопасно спланировать на землю.","While falling, you can mark a Stress to deploy this small parachute and glide safely to the ground."
ci28,item,Core,Кольцо Тишины,Ring of Silence,,rare,28,,,,,,,,,,https://artex-x.github.io/daggerheart-loot/i/ci28.html,"Потратьте Надежду, чтобы активировать это кольцо. Ваши шаги будут бесшумными до следующего отдыха.",Spend a Hope to activate this ring. Your footsteps are silent until your next rest.
ci29,item,Core,Успокаивающий Кулон,Calming Pendant,,rare,29,,,,,,,,,,https://artex-x.github.io/daggerheart-loot/i/ci29.html,"Когда вы должны отметить последний Стресс, бросьте 1d6. При результате 5 или выше не отмечайте его.","When you would mark your last Stress, roll a d6. On a result of 5 or higher, don't mark it."
ci30,item,Core,Двойная Фляга,Dual Flask,,rare,30,,,,,,,,,,https://artex-x.github.io/daggerheart-loot/i/ci30.html,В эту флягу можно налить две разные жидкости. Переключаться между ними можно с помощью небольшого переключателя на боковой стороне фляги.,This flask can hold two different liquids. You can swap between them by flipping a small switch on the flask's side.
ci31,item,Core,Мешочек Своенравного Песка,Bag of Ficklesand,,rare,31,,,,,,,,,,https://artex-x.github.io/daggerheart-loot/i/ci31.html,"Вы можете убедить этот маленький мешок с песком стать намного тяжелее или легче, успешно выполнив бросок Влияния (10). Кроме того, при успешном броске Искусности (10) вы можете выдуть немного песка в лицо цели, чтобы временно сделать её Уязвимой.","You can convince this small bag of sand to be much heavier or lighter with a successful Presence Roll (10). Additionally, on a successful Finesse Roll (10), you can blow a bit of sand into a target's face to make them temporarily Vulnerable."
ci32,item,Core,Кольцо Сопротивления,Ring of Resistance,,rare,32,,,,,,,,,,https://artex-x.github.io/daggerheart-loot/i/ci32.html,"Один раз за продолжительный отдых вы можете активировать это кольцо после успешной атаки по вам, чтобы уменьшить полученный урон вдвое.","Once per long rest, you can activate this ring after a successful attack against you to halve the damage."
ci33,item,Core,Перо Феникса,Phoenix Feather,,rare,33,,,,,,,,,,https://artex-x.github.io/daggerheart-loot/i/ci33.html,"Если у вас есть хотя бы одно Перо Феникса, когда вы теряете сознание, вы получаете бонус +1 к броску, который вы совершаете, чтобы определить, получите ли вы шрам.","If you have at least one Phoenix Feather on you when you fall unconscious, you gain a +1 bonus to the roll you make to determine whether you gain a scar."
ci34,item,Core,Коробка Многих Вещей,Box of Many Goods,,rare,34,,,,,,,,,,https://artex-x.github.io/daggerheart-loot/i/ci34.html,Один раз за продолжительный отдых вы можете открыть эту маленькую коробку и бросить 1d12. При результате 1-6 она пуста. При результате 7-10 она содержит один случайный обычный расходник. При результате 11-12 она содержит два случайных обычных расходника.,"Once per long rest, you can open this small box and roll a d12. On a result of 1-6, it's empty. On a result of 7-10, it contains one random common consumable. On a result of 11-12, it contains two random common consumables."
ci35,item,Core,Амулет Воздушного Клинка,Airblade Charm,,rare,35,,,,,,,,,,https://artex-x.github.io/daggerheart-loot/i/ci35.html,Вы можете прикрепить этот амулет к оружию с дистанцией Вплотную. Три раза за отдых вы можете активировать амулет и атаковать цель в пределах Средней дистанции.,"You can attach this charm to a weapon with a Melee range. Three times per rest, you can activate the charm and attack a target within Close range."
ci36,item,Core,Семя Портала,Portal Seed,,rare,36,,,,,,,,,,https://artex-x.github.io/daggerheart-loot/i/ci36.html,"Вы можете посадить это семя в землю, чтобы вырастить портал в этом месте. Портал будет готов к использованию через 24 часа. Вы можете использовать этот портал для перемещения в любое другое место, где вы посадили другое семя портала. Портал можно уничтожить, нанеся ему любое количество магического урона.",You can plant this seed in the ground to grow a portal in that spot. The portal is ready to use in 24 hours. You can use this portal to travel to any other location where you planted a portal seed. A portal can be destroyed by dealing any amount of magic damage to it.
ci37,item,Core,Цепь Парагона,Paragon's Chain,,very_rare,37,,,,,,,,,,https://artex-x.github.io/daggerheart-loot/i/ci37.html,"В качестве Хода Отдыха вы можете помедитировать над идеалом или принципом, который вам дорог, и сосредоточить свою волю на этой цепи. Один раз за продолжительный отдых вы можете потратить Надежду, чтобы бросить d20 в качестве Кости Надежды для бросков, которые напрямую связаны с этим принципом.","As a downtime move, you can meditate on an ideal or principle you hold dear and focus your will into this chain. Once per long rest, you can spend a Hope to roll a d20 as your Hope Die for rolls that directly align with that principle."
ci38,item,Core,Амулет Скрытности,Elusive Amulet,,very_rare,38,,,,,,,,,,https://artex-x.github.io/daggerheart-loot/i/ci38.html,"Один раз за продолжительный отдых вы можете активировать этот амулет, чтобы стать Скрытым до тех пор, пока не сдвинетесь с места. Пока вы Скрыты таким образом, вы остаётесь невидимым, даже если противник переместится туда, где обычно мог бы вас увидеть.","Once per long rest, you can activate this amulet to become Hidden until you move. While Hidden in this way, you remain unseen even if an adversary moves to where they would normally see you."
ci39,item,Core,Медальон Хранения Надежд,Hopekeeper Locket,,very_rare,39,,,,,,,,,,https://artex-x.github.io/daggerheart-loot/i/ci39.html,"Во время продолжительного отдыха, если у вас есть 6 Надежды, вы можете потратить одну Надежду, чтобы наполнить этот медальон вашей решимостью. Когда у вас нет Надежды, вы можете использовать медальон, чтобы немедленно получить одну Надежду. Медальон необходимо снова наполнить, прежде чем его снова можно будет использовать таким образом.","During a long rest, if you have 6 Hope, you can spend a Hope to imbue this locket with your bountiful resolve. When you have 0 Hope, you can use the locket to immediately gain a Hope. The locket must be re-imbued before it can be used this way again."
ci40,item,Core,Бездонная Сумка,Infinite Bag,,very_rare,40,,,,,,,,,,https://artex-x.github.io/daggerheart-loot/i/ci40.html,"Когда вы храните предметы в этом мешке, они находятся в карманном измерении, где никогда не заканчивается место. Вы можете достать предмет в любое время.","When you store items in this bag, they are kept in a pocket dimension that never runs out of space. You can retrieve an item at any time."
ci41,item,Core,Реликвия Быстрого Шага,Stride Relic,,very_rare,41,,,,,,,,,,https://artex-x.github.io/daggerheart-loot/i/ci41.html,Вы получаете бонус +1 к Проворности. Вы можете носить только одну реликвию.,You gain a +1 bonus to your Agility. You can only carry one relic.
ci42,item,Core,Реликвия Усиления,Bolster Relic,,very_rare,42,,,,,,,,,,https://artex-x.github.io/daggerheart-loot/i/ci42.html,Вы получаете бонус +1 к Силе. Вы можете носить только одну реликвию.,You gain a +1 bonus to your Strength. You can only carry one relic.
ci43,item,Core,Реликвия Баланса,Control Relic,,very_rare,43,,,,,,,,,,https://artex-x.github.io/daggerheart-loot/i/ci43.html,Вы получаете бонус +1 к Искусности. Вы можете носить только одну реликвию.,You gain a +1 bonus to your Finesse. You can only carry one relic.
ci44,item,Core,Реликвия Гармонии,Attune Relic,,very_rare,44,,,,,,,,,,https://artex-x.github.io/daggerheart-loot/i/ci44.html,Вы получаете бонус +1 к Инстинкту. Вы можете носить только одну реликвию.,You gain a +1 bonus to your Instinct. You can only carry one relic.
ci45,item,Core,Реликвия Очарования,Charm Relic,,very_rare,45,,,,,,,,,,https://artex-x.github.io/daggerheart-loot/i/ci45.html,Вы получаете бонус +1 к Влиянию. Вы можете носить только одну реликвию.,You gain a +1 bonus to your Presence. You can only carry one relic.
ci46,item,Core,Реликвия Прозрения,Enlighten Relic,,very_rare,46,,,,,,,,,,https://artex-x.github.io/daggerheart-loot/i/ci46.html,Вы получаете бонус +1 к Знаниям. Вы можете носить только одну реликвию.,You gain a +1 bonus to your Knowledge. You can only carry one relic.
ci47,item,Core,Реликвия Наставления,Honing Relic,,very_rare,47,,,,,,,,,,https://artex-x.github.io/daggerheart-loot/i/ci47.html,Вы получаете бонус +1 к Опыту по вашему выбору. Вы можете носить только одну реликвию.,You gain a +1 bonus to an Experience of your choice. You can only carry one relic.
ci48,item,Core,Кулон Светлячка,Flickerfly Pendant,,very_rare,48,,,,,,,,,,https://artex-x.github.io/daggerheart-loot/i/ci48.html,"Пока вы носите этот кулон, ваше оружие с дистанцией атаки Вплотную, наносящее физический урон, имеет тонкий блеск и может атаковать цели в пределах Близкой дистанции.","While you carry this pendant, your weapons with a Melee range that deal physical damage have a gossamer sheen and can attack targets within Very Close range."
ci49,item,Core,Ботинки Хождения по Воде,Lakestrider Boots,,legendary,49,,,,,,,,,,https://artex-x.github.io/daggerheart-loot/i/ci49.html,"Вы можете ходить по поверхности воды, как по мягкой земле.",You can walk on the surface of water as if it were soft ground.
ci50,item,Core,Глиняный Спутник,Clay Companion,,legendary,50,,,,,,,,,,https://artex-x.github.io/daggerheart-loot/i/ci50.html,"Когда вы лепите из этого шарика глины глиняного животного-компаньона, он ведёт себя как это животное. Например, глиняный паук может плести глиняные паутины, а глиняная птица может летать. Глиняные компаньоны сохраняют память и индивидуальность при изменении формы, но могут приобретать новые манеры поведения.","When you sculpt this ball of clay into a clay animal companion, it behaves as that animal. For example, a clay spider can spin clay webs, while a clay bird can fly. The clay companion retains memory and identity across different shapes, but they can adopt new mannerisms with each form."
ci51,item,Core,Рецепт Мифической Пыли,Mythic Dust Recipe,,legendary,51,,,,,,,,cc35,,https://artex-x.github.io/daggerheart-loot/i/ci51.html,В качестве Хода Отдыха вы можете использовать горсть мелкой золотой пыли для создания Мифической Пыли.,"As a downtime move, you can use a handful of fine gold dust to craft Mythic Dust."
ci52,item,Core,Осколок Памяти,Shard of Memory,,legendary,52,,,,,,,,,,https://artex-x.github.io/daggerheart-loot/i/ci52.html,"Один раз за продолжительный отдых вы можете потратить 2 Надежды, чтобы призвать карту домена из вашего хранилища вместо того, чтобы платить её Стоимость Призыва.","Once per long rest, you can spend 2 Hope to recall a domain card from your vault instead of paying its Recall Cost."
ci53,item,Core,Самоцвет Проворства,Gem of Alacrity,,legendary,53,,,,,,,,,,https://artex-x.github.io/daggerheart-loot/i/ci53.html,"Вы можете прикрепить этот самоцвет к оружию, что позволит вам использовать Проворность при совершении атаки этим оружием.","You can attach this gem to a weapon, allowing you to use your Agility when making an attack with that weapon."
ci54,item,Core,Самоцвет Мощи,Gem of Might,,legendary,54,,,,,,,,,,https://artex-x.github.io/daggerheart-loot/i/ci54.html,"Вы можете прикрепить этот самоцвет к оружию, что позволит вам использовать Силу при совершении атаки этим оружием.","You can attach this gem to a weapon, allowing you to use your Strength when making an attack with that weapon."
ci55,item,Core,Самоцвет Точности,Gem of Precision,,legendary,55,,,,,,,,,,https://artex-x.github.io/daggerheart-loot/i/ci55.html,"Вы можете прикрепить этот самоцвет к оружию, что позволит вам использовать Искусность при совершении атаки этим оружием.","You can attach this gem to a weapon, allowing you to use your Finesse when making an attack with that weapon."
ci56,item,Core,Самоцвет Чутья,Gem of Insight,,legendary,56,,,,,,,,,,https://artex-x.github.io/daggerheart-loot/i/ci56.html,"Вы можете прикрепить этот самоцвет к оружию, что позволит вам использовать Инстинкт при совершении атаки этим оружием.","You can attach this gem to a weapon, allowing you to use your Instinct when making an attack with that weapon."
ci57,item,Core,Самоцвет Дерзости,Gem of Audacity,,legendary,57,,,,,,,,,,https://artex-x.github.io/daggerheart-loot/i/ci57.html,"Вы можете прикрепить этот самоцвет к оружию, что позволит вам использовать Влияние при совершении атаки этим оружием.","You can attach this gem to a weapon, allowing you to use your Presence when making an attack with that weapon."
ci58,item,Core,Самоцвет Рассудительности,Gem of Sagacity,,legendary,58,,,,,,,,,,https://artex-x.github.io/daggerheart-loot/i/ci58.html,"Вы можете прикрепить этот самоцвет к оружию, что позволит вам использовать Знание при совершении атаки этим оружием.","You can attach this gem to a weapon, allowing you to use your Knowledge when making an attack with that weapon."
ci59,item,Core,Кольцо Несокрушимой Решимости,Ring of Unbreakable Resolve,,legendary,59,,,,,,,,,,https://artex-x.github.io/daggerheart-loot/i/ci59.html,"Один раз за сессию, когда Мастер тратит Страх, вы можете потратить 4 Надежды, чтобы отменить эффект потраченного Страха.","Once per session, when the GM spends a Fear, you can spend 4 Hope to cancel the effects of that spent Fear."
ci60,item,Core,Пояс Единства,Belt of Unity,,legendary,60,,,,,,,,,,https://artex-x.github.io/daggerheart-loot/i/ci60.html,"Один раз за сессию вы можете потратить 5 Надежды, чтобы провести Командный Бросок с тремя персонажами вместо двух.","Once per session, you can spend 5 Hope to lead a Tag Team Roll with three PCs instead of two."
cc1,consumable,Core,Зелье Быстрого Шага,Stride Potion,,common,1,,,,,,,,,,https://artex-x.github.io/daggerheart-loot/i/cc1.html,Вы получаете бонус +1 к следующему броску Проворности.,You gain a +1 bonus to your next Agility Roll.
cc2,consumable,Core,Зелье Усиления,Bolster Potion,,common,2,,,,,,,,,,https://artex-x.github.io/daggerheart-loot/i/cc2.html,Вы получаете бонус +1 к следующему броску Силы.,You gain a +1 bonus to your next Strength Roll.
cc3,consumable,Core,Зелье Сосредоточенности,Control Potion,,common,3,,,,,,,,,,https://artex-x.github.io/daggerheart-loot/i/cc3.html,Вы получаете бонус +1 к следующему броску Искусности.,You gain a +1 bonus to your next Finesse Roll.
cc4,consumable,Core,Зелье Гармонии,Attune Potion,,common,4,,,,,,,,,,https://artex-x.github.io/daggerheart-loot/i/cc4.html,Вы получаете бонус +1 к следующему броску Инстинкта.,You gain a +1 bonus to your next Instinct Roll.
cc5,consumable,Core,Зелье Очарования,Charm Potion,,common,5,,,,,,,,,,https://artex-x.github.io/daggerheart-loot/i/cc5.html,Вы получаете бонус +1 к следующему броску Влияния.,You gain a +1 bonus to your next Presence Roll.
cc6,consumable,Core,Зелье Просветления,Enlighten Potion,,common,6,,,,,,,,,,https://artex-x.github.io/daggerheart-loot/i/cc6.html,Вы получаете бонус +1 к следующему броску Знаний.,You gain a +1 bonus to your next Knowledge Roll.
cc7,consumable,Core,Малое Зелье Лечения,Minor Health Potion,,common,7,,,,,,,,,,https://artex-x.github.io/daggerheart-loot/i/cc7.html,Излечите 1d4 Ран.,Clear 1d4 HP.
cc8,consumable,Core,Малое Зелье Выносливости,Minor Stamina Potion,,common,8,,,,,,,,,,https://artex-x.github.io/daggerheart-loot/i/cc8.html,Очистите 1d4 Стресса.,Clear 1d4 Stress.
cc9,consumable,Core,Яд Скрежетозуба,Grindletooth Venom,,common,9,,,,,,,,,,https://artex-x.github.io/daggerheart-loot/i/cc9.html,"Вы можете нанести этот яд на оружие, наносящее физический урон, чтобы добавить 1d6 к вашему следующему броску урона этим оружием.",You can apply this venom to a weapon that deals physical damage to add a d6 to your next damage roll with that weapon.
cc10,consumable,Core,Листья Варика,Varik Leaves,,common,10,,,,,,,,,,https://artex-x.github.io/daggerheart-loot/i/cc10.html,"Вы можете съесть эти спаренные листья, чтобы сразу получить 2 Надежды.",You can eat these paired leaves to immediately gain 2 Hope.
cc11,consumable,Core,Флакон с Лунной Каплей,Vial of Moondrip,,common,11,,,,,,,,,,https://artex-x.github.io/daggerheart-loot/i/cc11.html,"Выпив содержимое этого флакона, вы сможете видеть в полной темноте до следующего отдыха.","When you drink the contents of this vial, you can see in total darkness until your next rest."
cc12,consumable,Core,Нестабильный Мистический Осколок,Unstable Arcane Shard,,common,12,,,,,,,,,,https://artex-x.github.io/daggerheart-loot/i/cc12.html,"Вы можете совершить бросок Искусности, чтобы бросить этот осколок в группу противников в пределах Далекой дистанции. Цели, против которых вы преуспели, получают 1d20 магического урона.",You can make a Finesse Roll to throw this shard at a group of adversaries within Far range. Targets you succeed against take 1d20 magic damage.
cc13,consumable,Core,Зелье Стойкости,Potion of Stability,,uncommon,13,,,,,,,,,,https://artex-x.github.io/daggerheart-loot/i/cc13.html,"Вы можете выпить это зелье, чтобы выбрать одно дополнительное действие привала.",You can drink this potion to choose one additional downtime move.
cc14,consumable,Core,Улучшенный Яд Скрежетозуба,Improved Grindletooth Venom,,uncommon,14,,,,,,,,,,https://artex-x.github.io/daggerheart-loot/i/cc14.html,"Вы можете нанести этот яд на оружие, наносящее физический урон, чтобы добавить 1d8 к вашему следующему броску урона этим оружием.",You can apply this venom to a weapon that deals physical damage to add a d8 to your next damage roll with that weapon.
cc15,consumable,Core,Глина Перевоплощения,Morphing Clay,,uncommon,15,,,,,,,,,,https://artex-x.github.io/daggerheart-loot/i/cc15.html,"Вы можете потратить Надежду, чтобы использовать эту глину, изменив свое лицо настолько, что вас не узнают до следующего отдыха.","You can spend a Hope to use this clay, altering your face enough to make you unrecognizable until your next rest."
cc16,consumable,Core,Флакон с Чёрным Дымом,Vial of Darksmoke,,uncommon,16,,,,,,,,,,https://artex-x.github.io/daggerheart-loot/i/cc16.html,"Когда противник атакует вас, используйте этот флакон и бросьте количество d6, равное вашей Проворности. Добавьте самый высокий результат к вашему Уклонению от этой атаки.","When an adversary attacks you, use this vial and roll a number of d6s equal to your Agility. Add the highest result to your Evasion against the attack."
cc17,consumable,Core,Прыгающий Корень,Jumping Root,,uncommon,17,,,,,,,,,,https://artex-x.github.io/daggerheart-loot/i/cc17.html,"Съешьте этот корень, чтобы один раз прыгнуть на Далекую дистанцию без необходимости бросать кость.",Eat this root to leap up to Far range once without needing to roll.
cc18,consumable,Core,Порошок Встряски,Snap Powder,,uncommon,18,,,,,,,,,,https://artex-x.github.io/daggerheart-loot/i/cc18.html,"Отметьте Стресс, чтобы очистить Рану.",Mark a Stress and clear a HP.
cc19,consumable,Core,Зелье Лечения,Health Potion,,uncommon,19,,,,,,,,,,https://artex-x.github.io/daggerheart-loot/i/cc19.html,Излечите 1d4+1 Ран.,Clear 1d4+1 HP.
cc20,consumable,Core,Зелье Выносливости,Stamina Potion,,uncommon,20,,,,,,,,,,https://artex-x.github.io/daggerheart-loot/i/cc20.html,Очистите 1d4+1 Стресса.,Clear 1d4+1 Stress.
cc21,consumable,Core,Доспешный Сшиватель,Armor Stitcher,,uncommon,21,,,,,,,,,,https://artex-x.github.io/daggerheart-loot/i/cc21.html,"Вы можете использовать этот швейный аппарат, чтобы потратить любое количество Надежды и очистить столько же Ячеек Брони.",You can use this stitcher to spend any number of Hope and clear that many Armor Slots.
cc22,consumable,Core,Жаберная Мазь,Gill Salve,,uncommon,22,,,,,,,,,,https://artex-x.github.io/daggerheart-loot/i/cc22.html,"Вы можете нанести эту мазь на шею, чтобы дышать под водой в течение минут, равных вашему уровню.",You can apply this salve to your neck to breathe underwater for a number of minutes equal to your level.
cc23,consumable,Core,Пергамент Копирования,Replication Parchment,,uncommon,23,,,,,,,,,,https://artex-x.github.io/daggerheart-loot/i/cc23.html,"Прикоснувшись этим пергаментом к другому, вы можете идеально скопировать содержимое второго пергамента. После использования этот пергамент становится обычной бумагой.","By touching this piece of parchment to another, you can perfectly copy the second parchment's contents. Once used, this parchment becomes mundane paper."
